lookback,z_short_rc,z_long_rc,z_short_ss,z_long_ss,pnl
5,0.02,0.02,0.02,0.02,2278095.68
3,0.02,0.02,0.02,0.02,2267503.92
3,0.02,0.02,0.02,0.12000000000000001,2267503.92
3,0.02,0.02,0.02,0.22,2267834.52
3,0.02,0.02,0.12000000000000001,0.02,2267503.92
3,0.02,0.02,0.12000000000000001,0.12000000000000001,2267503.92
3,0.02,0.02,0.12000000000000001,0.22,2267834.52
3,0.02,0.02,0.22,0.02,2267503.92
3,0.02,0.02,0.22,0.12000000000000001,2267503.92
3,0.02,0.02,0.22,0.22,2267834.52
3,0.02,0.12000000000000001,0.02,0.02,2267503.92
3,0.02,0.12000000000000001,0.02,0.12000000000000001,2266569.50
3,0.02,0.12000000000000001,0.02,0.22,2267056.46
3,0.02,0.12000000000000001,0.12000000000000001,0.02,2267503.92
3,0.02,0.12000000000000001,0.12000000000000001,0.12000000000000001,2266569.50
3,0.02,0.12000000000000001,0.12000000000000001,0.22,2267056.46
3,0.02,0.12000000000000001,0.22,0.02,2267503.92
3,0.02,0.12000000000000001,0.22,0.12000000000000001,2266569.50
3,0.02,0.12000000000000001,0.22,0.22,2267056.46
3,0.02,0.22,0.02,0.02,2267103.50
3,0.02,0.22,0.02,0.12000000000000001,2265875.36
3,0.02,0.22,0.02,0.22,2265168.46
3,0.02,0.22,0.12000000000000001,0.02,2267103.50
3,0.02,0.22,0.12000000000000001,0.12000000000000001,2265875.36
3,0.02,0.22,0.12000000000000001,0.22,2265168.46
3,0.02,0.22,0.22,0.02,2267203.58
3,0.02,0.22,0.22,0.12000000000000001,2265975.44
3,0.02,0.22,0.22,0.22,2265268.54
3,0.12000000000000001,0.02,0.02,0.02,2267503.92
3,0.12000000000000001,0.02,0.02,0.12000000000000001,2267503.92
3,0.12000000000000001,0.02,0.02,0.22,2267834.52
3,0.12000000000000001,0.02,0.12000000000000001,0.02,2267503.92
3,0.12000000000000001,0.02,0.12000000000000001,0.12000000000000001,2267503.92
3,0.12000000000000001,0.02,0.12000000000000001,0.22,2267834.52
3,0.12000000000000001,0.02,0.22,0.02,2267899.72
3,0.12000000000000001,0.02,0.22,0.12000000000000001,2267899.72
3,0.12000000000000001,0.02,0.22,0.22,2268230.32
3,0.12000000000000001,0.12000000000000001,0.02,0.02,2267503.92
3,0.12000000000000001,0.12000000000000001,0.02,0.12000000000000001,2266569.50
3,0.12000000000000001,0.12000000000000001,0.02,0.22,2267056.46
3,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.02,2267503.92
3,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,2266569.50
3,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.22,2267056.46
3,0.12000000000000001,0.12000000000000001,0.22,0.02,2267899.72
3,0.12000000000000001,0.12000000000000001,0.22,0.12000000000000001,2267121.04
3,0.12000000000000001,0.12000000000000001,0.22,0.22,2267608.00
3,0.12000000000000001,0.22,0.02,0.02,2267103.50
3,0.12000000000000001,0.22,0.02,0.12000000000000001,2265875.36
3,0.12000000000000001,0.22,0.02,0.22,2265168.46
3,0.12000000000000001,0.22,0.12000000000000001,0.02,2267103.50
3,0.12000000000000001,0.22,0.12000000000000001,0.12000000000000001,2265875.36
3,0.12000000000000001,0.22,0.12000000000000001,0.22,2265168.46
3,0.12000000000000001,0.22,0.22,0.02,2267599.38
3,0.12000000000000001,0.22,0.22,0.12000000000000001,2266526.98
3,0.12000000000000001,0.22,0.22,0.22,2265820.08
3,0.22,0.02,0.02,0.02,2267503.92
3,0.22,0.02,0.02,0.12000000000000001,2267503.92
3,0.22,0.02,0.02,0.22,2267586.54
3,0.22,0.02,0.12000000000000001,0.02,2267641.36
3,0.22,0.02,0.12000000000000001,0.12000000000000001,2267641.36
3,0.22,0.02,0.12000000000000001,0.22,2267723.98
3,0.22,0.02,0.22,0.02,2268037.16
3,0.22,0.02,0.22,0.12000000000000001,2268037.16
3,0.22,0.02,0.22,0.22,2268119.78
3,0.22,0.12000000000000001,0.02,0.02,2267503.92
3,0.22,0.12000000000000001,0.02,0.12000000000000001,2266569.50
3,0.22,0.12000000000000001,0.02,0.22,2266808.48
3,0.22,0.12000000000000001,0.12000000000000001,0.02,2267641.36
3,0.22,0.12000000000000001,0.12000000000000001,0.12000000000000001,2266706.94
3,0.22,0.12000000000000001,0.12000000000000001,0.22,2266945.92
3,0.22,0.12000000000000001,0.22,0.02,2268037.16
3,0.22,0.12000000000000001,0.22,0.12000000000000001,2267258.48
3,0.22,0.12000000000000001,0.22,0.22,2267497.46
3,0.22,0.22,0.02,0.02,2267103.50
3,0.22,0.22,0.02,0.12000000000000001,2265875.36
3,0.22,0.22,0.02,0.22,2264920.48
3,0.22,0.22,0.12000000000000001,0.02,2267240.94
3,0.22,0.22,0.12000000000000001,0.12000000000000001,2266012.80
3,0.22,0.22,0.12000000000000001,0.22,2265057.92
3,0.22,0.22,0.22,0.02,2267736.82
3,0.22,0.22,0.22,0.12000000000000001,2266664.42
3,0.22,0.22,0.22,0.22,2265709.54
4,0.02,0.02,0.02,0.02,2267096.94
4,0.02,0.02,0.02,0.12000000000000001,2267096.94
4,0.02,0.02,0.02,0.22,2267107.54
4,0.02,0.02,0.12000000000000001,0.02,2269291.07
4,0.02,0.02,0.12000000000000001,0.12000000000000001,2269291.07
4,0.02,0.02,0.12000000000000001,0.22,2269301.67
4,0.02,0.02,0.22,0.02,2269997.57
4,0.02,0.02,0.22,0.12000000000000001,2269997.57
4,0.02,0.02,0.22,0.22,2270008.17
4,0.02,0.12000000000000001,0.02,0.02,2266762.76
4,0.02,0.12000000000000001,0.02,0.12000000000000001,2266762.76
4,0.02,0.12000000000000001,0.02,0.22,2266773.36
4,0.02,0.12000000000000001,0.12000000000000001,0.02,2268716.57
4,0.02,0.12000000000000001,0.12000000000000001,0.12000000000000001,2268716.57
4,0.02,0.12000000000000001,0.12000000000000001,0.22,2268727.17
4,0.02,0.12000000000000001,0.22,0.02,2268742.21
4,0.02,0.12000000000000001,0.22,0.12000000000000001,2268742.21
4,0.02,0.12000000000000001,0.22,0.22,2268752.81
4,0.02,0.22,0.02,0.02,2266762.76
4,0.02,0.22,0.02,0.12000000000000001,2266762.76
4,0.02,0.22,0.02,0.22,2266773.36
4,0.02,0.22,0.12000000000000001,0.02,2268716.57
4,0.02,0.22,0.12000000000000001,0.12000000000000001,2268716.57
4,0.02,0.22,0.12000000000000001,0.22,2268727.17
4,0.02,0.22,0.22,0.02,2269082.45
4,0.02,0.22,0.22,0.12000000000000001,2269082.45
4,0.02,0.22,0.22,0.22,2269093.05
4,0.12000000000000001,0.02,0.02,0.02,2270000.78
4,0.12000000000000001,0.02,0.02,0.12000000000000001,2268598.56
